Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06
28,4,Zaka,1,1,Adult Male and Adult Female (M&F),1,0,0,1,1,0,0,2,0,1,0,0,0,0,NA,0,0,1,0,1,0,0,0,Female,Munorwei,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5,Zaka,2,1,Adult Female no Adult Male (FnM),0,1,1,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,1,0,1,0,0,1,Female,Makamba,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,4,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Rukweza,11,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,4,Buhera,1,0,Adult Male and Adult Female (M&F),0,1,1,0,1,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Rukweza,11,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4,Buhera,1,0,Adult Male and Adult Female (M&F),0,1,0,0,1,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Rukweza,11,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4,Buhera,1,0,Adult Male and Adult Female (M&F),0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,Mupfumi,11,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,6,Zaka,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,1,0,0,0,1,1,Male,Mutombo,21,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,6,Zaka,NA,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,1,0,0,0,1,1,Female,Mutombo,21,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,6,Zaka,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,1,0,0,0,0,1,Male,Meso,21,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,4,Zaka,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,1,0,1,0,0,1,Female,Runameso,21,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,9,Zaka,1,0,Adult Male and Adult Female (M&F),0,1,1,0,1,0,0,0,1,1,0,0,0,0,NA,0,0,1,0,0,0,0,1,Female,Chigaro,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
