Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06,KFP_sum,interventions,frame
28,CHIPANDE,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,16,1
24,KASELEMA,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,CHIWAMBA 2,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,Health and Nutrition,0,16,1
20,KASELEMA,ZOMBA,1,0,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,CHIWAMBA 2,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,2,2,2,1,2,2,2,Health and Nutrition,0,12,1
47,IPILU,MANGOCHI,3,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,Health and Nutrition,0,15,1
24,IPILU,MANGOCHI,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,1,NA,1,0,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,Health and Nutrition,1,14,1
30,KASELEMA,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,CHIWAMBA 2,CHIKOWI,NA,NA,TITUKULANE,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,1,2,2,2,Health and Nutrition,1,15,1
33,KASELEMA,ZOMBA,0,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,1,Female,CHIWAMBA 2,CHIKOWI,NA,NA,TITUKULANE,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,Health and Nutrition,1,16,1
39,IPILU,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,AIRONI,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,2,2,2,Health and Nutrition,0,5,1
29,IPILU,MANGOCHI,0,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,1,1,2,2,Health and Nutrition,0,1,1
33,IPILU,MANGOCHI,0,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,2,2,1,Health and Nutrition,0,13,1
